"age","prop_positive"
13,0
14,0.5
15,0.5
16,0
17,0.5
18,0.5
19,0.477611940298507
20,0.6
21,0.494623655913978
22,0.387096774193548
23,0.6
24,0.282051282051282
25,0.705882352941177
26,0.418181818181818
26.7,1
27,0.75
28,0.210526315789474
29,0.53125
30,0.210526315789474
31,0
32,0.823529411764706
33,0
34,0.736842105263158
35,0.68
36,0
37,0.5
38,0.8125
39,1
40,0.5
42,0.928571428571429
43,0
44,0.866666666666667
45,0.928571428571429
46,0
47,0.448275862068966
48,0.0769230769230769
49,0.333333333333333
50,0.169491525423729
51,0
52,0
53,0
55,0.928571428571429
56,0
60,0
65,0
91,1
